question_index,checkpoint,valid_votes,margin,stop,forced,cumulative_output_tokens
0,2,2,1.0,True,False,651
1,2,2,1.0,True,False,1173
2,2,2,1.0,True,False,1013
3,2,2,1.0,True,False,898
4,2,2,1.0,True,False,1036
5,2,2,1.0,True,False,523
6,2,2,1.0,True,False,850
7,2,2,1.0,True,False,1464
8,2,2,1.0,True,False,749
9,2,1,1.0,True,False,1872
10,2,2,1.0,True,False,796
11,2,2,1.0,True,False,1853
12,2,2,0.0,False,False,1078
12,3,3,0.3333333333333333,False,False,1771
12,4,4,0.5,True,False,2354
13,2,2,1.0,True,False,462
14,2,2,1.0,True,False,469
15,2,2,1.0,True,False,1104
16,2,2,1.0,True,False,1267
17,2,2,0.0,False,False,1028
17,3,3,0.0,False,False,1669
17,4,4,0.0,False,False,2498
17,5,5,0.0,False,False,3522
17,6,6,0.16666666666666666,False,False,4132
17,7,7,0.14285714285714285,False,False,4650
17,8,8,0.0,False,False,5124
17,9,9,0.1111111111111111,False,False,5648
17,10,10,0.2,False,False,6256
17,11,11,0.2727272727272727,False,False,6771
17,12,12,0.25,False,False,7239
17,13,13,0.3076923076923077,False,False,7714
17,14,14,0.2857142857142857,False,False,8482
17,15,15,0.26666666666666666,False,False,9506
17,16,16,0.25,True,True,10028
18,2,2,0.0,False,False,998
18,3,3,0.3333333333333333,False,False,1280
18,4,4,0.5,True,False,1706
19,2,2,1.0,True,False,906
20,2,2,1.0,True,False,382
21,2,2,0.0,False,False,1314
21,3,3,0.0,False,False,1998
21,4,4,0.0,False,False,2750
21,5,5,0.0,False,False,3774
21,6,6,0.0,False,False,4746
21,7,7,0.0,False,False,5398
21,8,7,0.0,False,False,6422
21,9,8,0.125,False,False,7001
21,10,9,0.1111111111111111,False,False,7919
21,11,9,0.1111111111111111,False,False,8943
21,12,10,0.1,False,False,9929
21,13,11,0.09090909090909091,False,False,10707
21,14,12,0.08333333333333333,False,False,11691
21,15,12,0.08333333333333333,False,False,12715
21,16,13,0.07692307692307693,True,True,13470
22,2,2,1.0,True,False,1587
23,2,2,1.0,True,False,1132
24,2,2,0.0,False,False,937
24,3,3,0.3333333333333333,False,False,1392
24,4,4,0.0,False,False,1901
24,5,5,0.2,False,False,2336
24,6,6,0.3333333333333333,False,False,2767
24,7,7,0.42857142857142855,False,False,3183
24,8,8,0.25,False,False,4074
24,9,9,0.2222222222222222,False,False,5037
24,10,10,0.1,False,False,5937
24,11,11,0.0,False,False,6757
24,12,12,0.08333333333333333,False,False,7718
24,13,13,0.15384615384615385,False,False,8136
24,14,14,0.07142857142857142,False,False,8528
24,15,15,0.13333333333333333,False,False,9405
24,16,16,0.1875,True,True,9978
25,2,2,0.0,False,False,1642
25,3,2,0.0,False,False,2666
25,4,2,0.0,False,False,3690
25,5,3,0.0,False,False,4714
25,6,4,0.25,False,False,5738
25,7,4,0.25,False,False,6762
25,8,5,0.2,False,False,7722
25,9,5,0.2,False,False,8746
25,10,6,0.0,False,False,9701
25,11,6,0.0,False,False,10725
25,12,7,0.0,False,False,11606
25,13,7,0.0,False,False,12630
25,14,7,0.0,False,False,13654
25,15,8,0.125,False,False,14340
25,16,9,0.1111111111111111,True,True,15285
26,2,2,0.0,False,False,1194
26,3,3,0.0,False,False,2218
26,4,4,0.25,False,False,2852
26,5,5,0.2,False,False,3521
26,6,6,0.16666666666666666,False,False,4089
26,7,7,0.2857142857142857,False,False,4794
26,8,8,0.375,False,False,5451
26,9,9,0.2222222222222222,False,False,6154
26,10,10,0.1,False,False,6809
26,11,11,0.09090909090909091,False,False,7276
26,12,12,0.16666666666666666,False,False,7915
26,13,13,0.07692307692307693,False,False,8616
26,14,14,0.07142857142857142,False,False,9301
26,15,15,0.06666666666666667,False,False,10079
26,16,15,0.06666666666666667,True,True,11103
27,2,2,1.0,True,False,726
28,2,2,1.0,True,False,635
29,2,2,1.0,True,False,1143
30,2,2,1.0,True,False,739
31,2,2,1.0,True,False,1069
32,2,2,1.0,True,False,730
33,2,2,1.0,True,False,1337
34,2,2,1.0,True,False,1371
35,2,2,1.0,True,False,810
36,2,1,1.0,True,False,1737
37,2,2,1.0,True,False,467
38,2,2,1.0,True,False,513
39,2,2,1.0,True,False,1109
40,2,2,1.0,True,False,487
41,2,2,0.0,False,False,1219
41,3,3,0.3333333333333333,False,False,1739
41,4,4,0.25,False,False,2288
41,5,5,0.2,False,False,2708
41,6,6,0.16666666666666666,False,False,3348
41,7,7,0.14285714285714285,False,False,4128
41,8,8,0.25,False,False,4661
41,9,9,0.1111111111111111,False,False,5381
41,10,10,0.2,False,False,5889
41,11,11,0.2727272727272727,False,False,6430
41,12,12,0.3333333333333333,False,False,6937
41,13,13,0.3076923076923077,False,False,7438
41,14,14,0.21428571428571427,False,False,7993
41,15,15,0.26666666666666666,False,False,8486
41,16,16,0.1875,True,True,8939
42,2,2,1.0,True,False,1280
43,2,2,0.0,False,False,1314
43,3,3,0.0,False,False,2114
43,4,3,0.0,False,False,3138
43,5,4,0.0,False,False,3818
43,6,4,0.0,False,False,4842
43,7,5,0.0,False,False,5435
43,8,5,0.0,False,False,6459
43,9,5,0.0,False,False,7483
43,10,6,0.0,False,False,8250
43,11,7,0.14285714285714285,False,False,9190
43,12,8,0.125,False,False,10214
43,13,9,0.0,False,False,10855
43,14,9,0.0,False,False,11879
43,15,10,0.0,False,False,12458
43,16,11,0.0,True,True,13149
44,2,2,1.0,True,False,884
45,2,2,1.0,True,False,710
46,2,1,1.0,True,False,1600
47,2,2,1.0,True,False,875
48,2,2,1.0,True,False,488
49,2,2,1.0,True,False,553
50,2,2,1.0,True,False,1408
51,2,1,1.0,True,False,1697
52,2,2,1.0,True,False,532
53,2,2,1.0,True,False,680
54,2,2,1.0,True,False,577
55,2,2,1.0,True,False,658
56,2,2,1.0,True,False,361
57,2,2,1.0,True,False,1115
58,2,2,1.0,True,False,515
59,2,2,1.0,True,False,952
60,2,1,1.0,True,False,1849
61,2,2,1.0,True,False,757
62,2,2,1.0,True,False,1422
63,2,2,1.0,True,False,1049
64,2,1,1.0,True,False,1948
65,2,2,1.0,True,False,473
66,2,2,1.0,True,False,754
67,2,2,1.0,True,False,647
68,2,2,1.0,True,False,1707
69,2,2,1.0,True,False,905
70,2,2,1.0,True,False,1121
71,2,2,0.0,False,False,808
71,3,3,0.3333333333333333,False,False,1116
71,4,4,0.5,True,False,1685
72,2,2,1.0,True,False,718
73,2,2,1.0,True,False,650
74,2,2,1.0,True,False,993
75,2,2,1.0,True,False,927
76,2,2,1.0,True,False,645
77,2,2,1.0,True,False,419
78,2,2,1.0,True,False,1506
79,2,2,1.0,True,False,555
80,2,2,0.0,False,False,1407
80,3,3,0.3333333333333333,False,False,2166
80,4,4,0.5,True,False,3056
81,2,2,1.0,True,False,1093
82,2,2,1.0,True,False,974
83,2,2,1.0,True,False,821
84,2,2,1.0,True,False,1582
85,2,2,1.0,True,False,632
86,2,2,1.0,True,False,523
87,2,2,1.0,True,False,1191
88,2,2,1.0,True,False,1735
89,2,2,1.0,True,False,1787
90,2,2,1.0,True,False,522
91,2,2,1.0,True,False,704
92,2,2,1.0,True,False,1333
93,2,2,1.0,True,False,1217
94,2,2,1.0,True,False,1299
95,2,2,1.0,True,False,1638
96,2,0,,False,False,2048
96,3,1,1.0,True,False,2744
97,2,2,1.0,True,False,511
98,2,2,1.0,True,False,504
99,2,2,1.0,True,False,1764
